"PHONE","ZIP","MOUMO","MOUPMO","MOU3MO","MOUCH1M","MOUCH3M","CUM3MCH","CUSTMOS","LONGD","CALLW","LINES","VOICEM","CELL","CONVB","SEX","INCOME","SPORTS","NATURE","ARTS","HRS_TV","TRAVEL","EDUC","TARGET","TOTMOU","TOTCHNG","CUST_ID"
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,257
"603-595-8765","21750",333,277,144,56,133,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,754,189,258
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,259
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","Masters",0,1172,-232,260
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,261
"415-987-1192","15563",5,15,99,-10,-84,-94,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,119,-94,262
"617-555-1135","10040",999,1200,1145,-201,55,-146,3,1,1,2,1,1,"No","M",80000,"A",0,"N",40,"Domestic","PhD",1,3344,-146,263
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,264
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,265
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,266
"276-987-5678","45987",60,456,398,-396,58,-338,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,914,-338,267
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,268
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,269
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,270
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,271
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,272
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,273
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,274
"617-555-1005","10040",145,2,0,143,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,275
"603-595-8711","21750",5,150,75,-145,75,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,230,-70,276
"214-455-2456","36785",100,9,60,91,-51,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,169,40,277
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,278
"415-987-1122","15563",1004,4,944,1000,-940,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,1952,60,279
"617-555-1335","10040",565,200,650,365,-450,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1415,-85,280
"603-595-8765","21750",333,130,144,203,-14,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,607,189,281
"415-987-8787","55166",550,55,500,495,-445,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1105,50,282
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","High School",0,1172,-232,283
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,284
"415-987-1192","15563",105,15,99,90,-84,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,219,6,285
"617-555-1135","10040",999,900,1145,99,-245,-146,3,1,1,2,1,1,"Yes","M",80000,"A",0,"N",40,"Domestic","Bachelors",1,3044,-146,286
"603-595-1115","21750",5,55,1,-50,54,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,61,4,287
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","Masters",0,1031,-111,288
"214-455-3346","36785",55,444,678,-389,-234,-623,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1177,-623,289
"276-987-5678","45987",600,366,398,234,-32,202,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,1364,202,290
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,291
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,292
"603-595-1865","21750",7543,16754,598,-9211,16156,6945,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,24895,6945,293
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,294
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,295
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,296
"415-987-0097","15563",53,9,29,44,-20,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,91,24,297
"617-555-1005","10040",1,2,0,-1,0,0,2,0,0,1,0,0,"Yes","F",17000,"F",1,"Y",70,"Domestic","Bachelors",0,0,0,298
"603-595-8711","21750",5,15,75,-10,-60,-70,6,1,0,1,1,0,"No","F",39000,"F",0,"Y",100,"International","High School",0,95,-70,299
"214-455-2456","36785",100,90,60,10,30,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,250,40,300
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,301
"415-987-1122","15563",1004,800,944,204,-144,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,2748,60,302
"617-555-1335","10040",565,577,650,-12,-73,-85,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,1792,-85,303
"603-595-8765","21750",4567,3534,144,1033,3390,4423,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,8245,4423,304
"415-987-8787","55166",550,100,500,450,-400,50,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,1150,50,305
"214-455-2446","36785",398,144,630,254,-486,-232,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","High School",0,1172,-232,306
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,307
"415-987-1192","15563",5435,15,99,5420,-84,5336,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,5549,5336,308
"617-555-1135","10040",9,1200,1145,-1191,55,-1136,3,1,1,2,1,1,"Yes","M",80000,"A",0,"N",40,"Domestic","Masters",1,2354,-1136,309
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",1,8,4,310
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,311
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,312
"276-987-5678","45987",600,456,398,144,58,202,13,0,1,1,1,0,"Yes","M",88000,"A",1,"N",0,"International","Masters",1,1454,202,313
"415-987-1879","15563",2,0,4,1,-3,-2,4,0,0,1,0,0,"Yes","M",53000,"na",1,"Y",125,"None","Bachelors",0,6,-2,314
"617-555-1002","10040",2,0,0,0,0,0,1,0,0,1,1,0,"No","F",29000,"B",0,"N",75,"Domestic","High School",0,0,0,315
"603-595-1865","21750",678,1222,598,-544,624,80,30,1,1,2,0,1,"Yes","M",46000,"E",1,"Y",60,"International","High School",1,2498,80,316
"415-987-8987","55166",110,98,56,12,42,54,15,1,0,1,1,0,"No","M",98000,"E",0,"Y",50,"InterGalactic","High School",0,264,54,317
"214-455-0034","36785",97,56,97,41,-41,0,8,0,0,1,0,1,"No","M",125000,"na",0,"N",5,"Domestic","High School",0,250,0,318
"276-987-3078","45987",45,23,66,22,-43,-21,44,0,0,1,0,0,"No","F",91000,"D",1,"N",0,"International","PhD",0,134,-21,319
"415-987-0097","15563",53,34,29,19,5,24,50,1,1,1,0,0,"No","F",48000,"na",1,"Y",20,"None","GED",1,116,24,320
"214-455-2456","36785",100,190,60,-90,130,40,10,1,0,2,1,1,"Yes","M",50000,"B",0,"N",70,"Domestic","Elementary",1,350,40,1
"276-987-3478","45987",10,20,50,-10,-30,-40,3,1,0,1,0,0,"No","M",75000,"B",1,"Y",0,"International","PhD",0,80,-40,2
"415-987-1122","15563",1004,800,944,204,-144,60,26,1,1,3,1,1,"Yes","M",225000,"C",0,"N",5,"None","PhD",0,2748,60,3
"617-555-1335","10040",5678,3457,2156,2221,1301,3522,14,1,1,1,1,1,"No","M",33000,"A",1,"Y",25,"Domestic","Masters",0,11291,3522,4
"603-595-8765","21750",333,122,144,211,-22,189,9,0,1,1,1,1,"Yes","M",44000,"F",1,"N",35,"International","Masters",1,599,189,5
"415-987-8787","55166",550,100,1453,450,-1353,-903,17,1,1,1,0,0,"No","M",320000,"D",0,"Y",50,"InterGalactic","GED",0,2103,-903,6
"214-455-2446","36785",398,2452,4789,-2054,-2337,-4391,36,0,0,2,1,0,"No","M",145000,"E",1,"N",40,"Domestic","High School",0,7639,-4391,7
"276-987-7878","45987",78,54,24,24,30,54,6,1,0,1,0,0,"No","F",66000,"A",0,"N",20,"International","Bachelors",1,156,54,8
"415-987-1192","15563",105,7,99,98,-92,6,11,0,0,2,1,0,"No","F",51000,"B",1,"N",10,"None","Bachelors",0,211,6,9
"617-555-1135","10040",9456,14325,12456,-4869,1869,-3000,3,1,1,2,1,1,"Yes","F",80000,"A",0,"N",40,"Domestic","PhD",1,36237,-3000,10
"603-595-1115","21750",5,2,1,3,1,4,23,0,0,1,0,0,"No","M",80000,"C",0,"Y",50,"International","High School",0,8,4,11
"415-987-8567","55166",344,232,455,112,-223,-111,11,1,1,2,1,1,"Yes","M",75000,"B",1,"Y",25,"InterGalactic","GED",0,1031,-111,12
"214-455-3346","36785",555,444,678,111,-234,-123,27,1,1,2,1,0,"No","F",134000,"na",1,"Y",5,"Domestic","PhD",0,1677,-123,13
