MARITAL_STATUS,STATE,CREDIT_BALANCE,CUSTOMER_TENURE,MORTGAGE_AMOUNT,BANK_FUNDS,NUM_DEPENDENTS,HAS_CHILDREN,INCOME,CUSTOMER_ID,GENDER,PROFESSION,CREDIT_CARD_LIMITS,REGION,HOME_OWNERSHIP,NUM_ONLINE_TRANS,BUY_INSURANCE,MONTHLY_CHECKS,NUM_TRANS_KIOSK,AGE,MONEY_MONTLY_OVERDRAWN,LTV,TOTAL_AUTOM_PAYMENTS,NUM_TRANS_TELLER,CHECKING_BALANCE,NUM_TRANS_ATM,LTV_BIN,FIRST_NAME,NUM_MORTGAGES,CAR_OWNERSHIP,LAST_NAME
SINGLE,CA,0,3,0,0,3,0,65871,CU15154,M,Nurse,1000,West,0,0,No,0,1,24,53.06,14367.75,0,0,25,0,MEDIUM,GAYLE,0,0,DURANT
SINGLE,NY,0,4,0,290,4,0,68747,CU15155,M,Programmer/Developer,700,NorthEast,0,0,Yes,1,1,35,53.84,14686.75,287,2,25,4,MEDIUM,QUINTON,0,1,MASSEY
MARRIED,MI,0,3,1000,550,3,0,68684,CU15157,M,Programmer/Developer,1000,Midwest,1,1000,Yes,14,1,26,53.48,25271,132,2,25,4,HIGH,ANIBAL,1,1,JIMENEZ
MARRIED,UT,0,5,1200,1000,5,0,59354,CU15286,F,Fireman,2500,Southwest,1,1200,No,4,5,24,53.08,19738.5,628,3,619,1,MEDIUM,JUNITA,1,1,ROBERTSON
MARRIED,UT,0,4,1800,0,3,0,84801,CU15287,F,PROF-26,2500,Southwest,1,1800,No,0,5,47,53.06,31900.25,0,0,25,0,VERY HIGH,CHASITY,1,1,ELLIS
MARRIED,UT,0,1,1400,0,1,0,73987,CU15289,M,Professor,2500,Southwest,1,1400,No,0,5,46,53.06,31596.75,0,0,25,0,VERY HIGH,FRANKLIN,1,1,KNOX
SINGLE,UT,0,3,578,0,3,0,51452,CU15290,M,Sales Representative,2500,Southwest,1,578,No,0,5,33,53.06,21663,0,0,25,0,MEDIUM,LINCOLN,1,1,MATTSON
SINGLE,UT,0,3,0,0,3,0,63181,CU15291,M,Construction Laborer,2500,Southwest,0,0,No,1,5,49,53.07,16195.25,0,0,25,1,MEDIUM,STEPHEN,0,0,CARROLL
SINGLE,UT,0,5,117,0,5,0,66654,CU15292,F,PROF-3,2500,Southwest,1,117,No,0,5,21,53.06,21263.5,0,0,25,0,MEDIUM,CEOLA,1,1,HARRISON
SINGLE,UT,0,3,0,250,3,0,61716,CU15294,M,Programmer/Developer,1500,Southwest,0,0,No,3,5,26,53.04,13529,0,2,25,2,LOW,LLOYD,0,0,HOLLEY
