"CUST_ID","LAST","FIRST","STATE","REGION","SEX","PROFESSION","BUY_INSURANCE","AGE","HAS_CHILDREN","SALARY","N_OF_DEPENDENTS","CAR_OWNERSHIP","HOUSE_OWNERSHIP","TIME_AS_CUSTOMER","MARITAL_STATUS","CREDIT_BALANCE","BANK_FUNDS","CHECKING_AMOUNT","MONEY_MONTLY_OVERDRAWN","T_AMOUNT_AUTOM_PAYMENTS","MONTHLY_CHECKS_WRITTEN","MORTGAGE_AMOUNT","N_TRANS_ATM","N_MORTGAGES","N_TRANS_TELLER","CREDIT_CARD_LIMITS","N_TRANS_KIOSK","N_TRANS_WEB_BANK","LTV","LTV_BIN"
"CU8617","JESS","CURRAN","DC","NorthEast","M","Cashier","No",46,1,63760,1,1,2,1,"MARRIED",0,0,25,52.77,0,0,5000,2,2,1,800,1,5000,34040,"VERY HIGH"
"CU7115","TYLER","MARSH","MN","West","M","PROF-14","No",27,1,58573,1,1,1,1,"DIVORCED",0,0,25,53.97,751,1,3333,5,1,1,900,1,3333,20843.25,"MEDIUM"
"CU7117","CARISSA","POLLOCK","MI","Midwest","F","Administrator","Yes",30,1,65226,4,1,2,4,"DIVORCED",0,6300,349,55.4,4539,2,4000,5,2,4,900,1,1500,28306.5,"HIGH"
"CU7118","BUCK","DOE","CA","West","M","Nurse","No",33,1,68721,0,1,1,2,"DIVORCED",0,0,25,53.08,612,1,4500,1,1,1,900,1,4500,26480.25,"HIGH"
"CU7120","JERE","PONCE","NY","NorthEast","M","Professor","No",21,0,57648,3,1,1,3,"DIVORCED",0,0,25,53.19,0,1,1900,3,1,1,900,1,1900,22012,"HIGH"
"CU7121","TRAVIS","BUSBY","CA","West","F","PROF-38","No",32,0,60818,5,1,1,5,"MARRIED",0,201,999,53.14,1007,13,1200,2,1,1,900,1,1200,20904.5,"MEDIUM"
"CU7123","JIM","LANIER","NY","NorthEast","M","Clerical","No",35,1,61322,1,1,1,1,"MARRIED",0,8200,92,52.98,8664,2,5000,2,1,4,900,8,1300,22330.5,"HIGH"
"CU7124","WILLA","CHRISTENSEN","NY","NorthEast","F","PROF-1","Yes",44,1,60742,1,1,1,1,"DIVORCED",0,2000,25,54.16,887,15,2000,5,1,1,900,1,400,23085.5,"HIGH"
"CU7125","LINWOOD","BAILEY","CA","West","M","Waiter/Waitress","No",63,1,62332,1,1,1,1,"MARRIED",0,0,25,53.08,636,1,1800,1,1,1,900,1,1800,25383,"HIGH"
"CU7127","EDWARDO","DOE","NV","Southwest","M","Nurse","No",58,1,69224,0,1,1,2,"WIDOWED",0,0,25,53.04,959,4,10000,2,1,0,900,1,10000,29106,"HIGH"
"CU7128","CHANG","MOBLEY","OR","West","M","Programmer/Developer","Yes",26,1,65939,0,1,0,2,"SINGLE",0,1100,708,53.09,1267,12,0,1,0,3,900,1,500,15084.75,"MEDIUM"
