"CUSTOMER_ID","LAST","FIRST","STATE","REGION","SEX","PROFESSION","BUY_INSURANCE","AGE","HAS_CHILDREN","SALARY","N_OF_DEPENDENTS","CAR_OWNERSHIP","HOUSE_OWNERSHIP","TIME_AS_CUSTOMER","MARITAL_STATUS","CREDIT_BALANCE","BANK_FUNDS","CHECKING_AMOUNT","MONEY_MONTLY_OVERDRAWN","T_AMOUNT_AUTOM_PAYMENTS","MONTHLY_CHECKS_WRITTEN","MORTGAGE_AMOUNT","N_TRANS_ATM","N_MORTGAGES","N_TRANS_TELLER","CREDIT_CARD_LIMITS","N_TRANS_KIOSK","N_TRANS_WEB_BANK","LTV","LTV_BIN"
"CU8589","KALA","IVERSON","WI","Midwest","F","PROF-9","No",49,1,68696,1,1,1,1,"WIDOWED",0,16100,25,53.14,1749,4,5500,2,1,5,800,1,3700,25574,"HIGH"
"CU9823","NESTOR","HORTON","CA","West","M","Nurse","No",24,0,73850,0,1,0,2,"SINGLE",0,0,25,53.06,504,0,0,0,0,0,1500,1,0,21862.5,"MEDIUM"
"CU12175","DWIGHT","ROLLINS","MI","Midwest","M","Programmer/Developer","No",26,1,60249,2,1,1,2,"MARRIED",452,500,134,53.42,625,4,1036,4,1,2,1000,4,1036,19662.25,"MEDIUM"
"CU7924","GRADY","STATON","NY","NorthEast","M","Programmer/Developer","No",32,0,60466,1,1,0,1,"SINGLE",0,650,265,53.18,278,17,0,3,0,2,700,3,0,16816.5,"MEDIUM"
"CU14284","DOMINICK","LAW","NY","NorthEast","M","Construction Laborer","No",24,0,76570,3,1,1,3,"SINGLE",0,0,25,53.06,0,1,358,0,1,0,1500,1,358,27042.5,"HIGH"
"CU14620","DANIAL","CORLEY","UT","Southwest","M","Truck Driver","No",35,1,62756,1,1,1,1,"MARRIED",0,501,1382,53.32,1636,8,1500,3,1,2,500,1,1500,22689,"HIGH"
"CU15186","VERNON","NIETO","NY","NorthEast","F","IT Staff","No",36,1,62886,1,1,1,1,"MARRIED",0,600,25,53.22,757,2,1020,3,1,2,1000,1,1020,22821.5,"HIGH"
"CU5165","KITTY","COFFEY","MI","Midwest","F","Truck Driver","No",26,1,61012,1,1,1,1,"MARRIED",0,2400,1314,53.27,2299,3,1300,3,1,1,1100,0,1300,21353,"MEDIUM"
"CU5938","TEDDY","MURILLO","CA","West","M","Author","No",78,1,65134,0,1,0,2,"SINGLE",0,0,25,53.08,514,4,0,1,0,0,900,0,0,20083.5,"MEDIUM"
"CU3296","MARYLEE","HATHAWAY","CA","West","F","Not specified","No",49,1,60322,3,1,1,4,"WIDOWED",30650,9550,266,53.73,33850,12,6500,4,1,4,900,2,1700,20980.5,"MEDIUM"
