"PART_SN","DEFECTIVE","TORQUE_DEVIATION_PSI","OXIDE_CHROMATE_DPI","PAINT_PSI","DRYING_TIME_MIN","SOURCE","AMT_COATING","NOZZLE_PRESS_PSI","PAINT_ROBOT_NUM","EDUCATION_NUM","OPERATOR","EQUIPMENT","HOURS_PER_WEEK","SUPPLIER","SHIFT","GENDER"
163,"0",0,900.49,49,59,"U.S.",60,115784,"ROBO_PAINT_22",5,"CHRISTIAN","ROBO_PAINT_22",44,"SHERWIN_PNT","1ST_SHIFT","MALE"
164,"1",0,1156.49,49,97,"Mexico",108,199590,"ROBO_PAINT_22",9,"MALAKY","ROBO_PAINT_22",40,"SHERWIN_PNT","1ST_SHIFT","MALE"
165,"1",0,1444.55,55,147,"U.S.",98,202051,"ROBO_PAINT_22",13,"BRADY","ROBO_PAINT_22",42,"SHERWIN_PNT","1ST_SHIFT","MALE"
166,"0",0,1444.69,69,197,"U.S.",94,220419,"ROBO_PAINT_14",13,"BARGER","ROBO_PAINT_14",56,"BEST_PAINT","3RD_SHIFT","MALE"
167,"0",0,784.43,43,32,"Mexico",38,241745,"AUTO_PAINT_C",3,"JOHNSKY","AUTO_PAINT_C",40,"AHERN_PAINT_SUPPLIES","1ST_SHIFT","FEMALE"
168,"0",0,1156.44,44,85,"Ireland",61,113635,"ROBO_PAINT_14",9,"CHRISTIAN","ROBO_PAINT_14",35,"BEST_PAINT","1ST_SHIFT","MALE"
169,"0",0,1225.2,20,27,"U.S.",178,205011,"ROBO_PAINT_22",10,"?","ROBO_PAINT_22",10,"SHERWIN_PNT","?","MALE"
170,"0",0,1225.5,50,108,"U.S.",53,111676,"ROBO_PAINT_14",10,"MALAKY","ROBO_PAINT_14",40,"BEST_PAINT","1ST_SHIFT","FEMALE"
171,"0",0,1225.52,52,113,"U.S.",85,227359,"ROBO_PAINT_22",10,"MALAKY","ROBO_PAINT_22",42,"SHERWIN_PNT","1ST_SHIFT","MALE"
172,"1",27828,1253.49,2849,151,"U.S.",27941,148549,"ROBO_PAINT_14",10,"CHRISTIAN","ROBO_PAINT_14",56,"ACME_INC","1ST_SHIFT","MALE"
173,"0",0,1225.35,35,68,"U.S.",50,42706,"ROBO_PAINT_14",10,"HANNER","ROBO_PAINT_14",25,"BEST_PAINT","1ST_SHIFT","MALE"
174,"0",0,900.45,45,54,"U.S.",34,140863,"ROBO_PAINT_22",5,"CHRISTIAN","ROBO_PAINT_22",40,"SHERWIN_PNT","2ND_SHIFT","MALE"
175,"0",0,1156.49,49,97,"U.S.",68,295612,"ROBO_PAINT_14",9,"HANNER","ROBO_PAINT_14",40,"AHERN_PAINT_SUPPLIES","WEEKEND_A","FEMALE"
176,"1",0,1444.53,53,140,"U.S.",133,189956,"ROBO_PAINT_6",13,"RAMIREZ","ROBO_PAINT_6",40,"SHERWIN_PNT","3RD_SHIFT","FEMALE"
177,"0",0,1156.49,49,97,"U.S.",56,266668,"ROBO_PAINT_14",9,"RAMIREZ","ROBO_PAINT_14",40,"BEST_PAINT","2ND_SHIFT","MALE"
178,"0",0,1225.5,50,108,"U.S.",113,168837,"AUTO_PAINT_C",10,"OBRIEN","AUTO_PAINT_C",40,"ACME_INC","1ST_SHIFT","FEMALE"
179,"0",0,1444.51,51,133,"U.S.",88,213842,"AUTO_PAINT_B",13,"HANNER","AUTO_PAINT_B",38,"BEST_PAINT","1ST_SHIFT","MALE"
180,"0",0,1024.3,30,43,"U.S.",63,212856,"AUTO_PAINT_C",7,"MALAKY","AUTO_PAINT_C",23,"BEST_PAINT","3RD_SHIFT","FEMALE"
181,"0",0,1024.47,47,76,"U.S.",60,289731,"ROBO_PAINT_22",7,"JOHNSKY","ROBO_PAINT_22",40,"SHERWIN_PNT","2ND_SHIFT","MALE"
182,"1",15024,1459.55,1555,140,"U.S.",15174,121124,"ROBO_PAINT_22",13,"BARGER","ROBO_PAINT_22",40,"SHERWIN_PNT","3RD_SHIFT","MALE"
